participant,country,condition,problem,num_distance,correctness,congruency,rt,log_rt
10012,Malaysia,magnitude,8 | 3,5,TRUE,incongruent,0.6174,-0.20943337485392347
10012,Malaysia,magnitude,4 | 3,1,TRUE,congruent,0.4615,-0.3358282946380691
10013,Malaysia,magnitude,8 | 3,5,TRUE,incongruent,1.0663,0.02787940920720745
10013,Malaysia,magnitude,3 | 8,5,TRUE,neutral,0.5839,-0.2336615247487127
10013,Malaysia,magnitude,7 | 9,2,TRUE,incongruent,0.6166,-0.2099964796095105
10013,Malaysia,magnitude,4 | 3,1,TRUE,congruent,0.8,-0.09691001300805639
10013,Malaysia,magnitude,4 | 2,2,TRUE,incongruent,0.7005,-0.15459186037820657
10013,Malaysia,magnitude,3 | 1,2,TRUE,incongruent,0.952,-0.021363051615525673
10013,Malaysia,magnitude,3 | 4,1,TRUE,neutral,0.6506,-0.18668594105416525
10013,Malaysia,magnitude,1 | 3,2,TRUE,congruent,0.6346,-0.19749993223560652
10013,Malaysia,magnitude,8 | 6,2,TRUE,incongruent,0.7343,-0.13412647179218534
10013,Malaysia,magnitude,4 | 9,5,TRUE,neutral,0.5383,-0.26897562018431215
10013,Malaysia,magnitude,7 | 6,1,FALSE,incongruent,1.0014,6.075870628903731e-4
10013,Malaysia,magnitude,6 | 1,5,TRUE,incongruent,0.817,-0.08777794346758454
10013,Malaysia,magnitude,6 | 8,2,TRUE,incongruent,0.7175,-0.14417809459397005
10013,Malaysia,magnitude,6 | 7,1,FALSE,incongruent,0.6172,-0.20957408260888935
10013,Malaysia,magnitude,8 | 6,2,TRUE,neutral,0.7673,-0.11503480179926731
10013,Malaysia,magnitude,9 | 7,2,TRUE,incongruent,0.7339,-0.13436311230037135
10013,Malaysia,magnitude,1 | 6,5,TRUE,congruent,0.6171,-0.20964445358561357
10013,Malaysia,magnitude,6 | 1,5,TRUE,neutral,1.0505,0.02139605674197138
10013,Malaysia,magnitude,1 | 2,1,TRUE,neutral,0.7003,-0.15471587365200848
10013,Malaysia,magnitude,1 | 6,5,TRUE,neutral,0.7499,-0.12499664639995896
10013,Malaysia,magnitude,2 | 1,1,TRUE,incongruent,0.9004,-0.045564513671517634
10013,Malaysia,magnitude,2 | 4,2,TRUE,incongruent,0.8348,-0.07841755960658359
10013,Malaysia,magnitude,8 | 3,5,TRUE,neutral,0.8174,-0.08756536662442532
10013,Malaysia,magnitude,9 | 7,2,TRUE,congruent,0.7674,-0.11497820513770246
10013,Malaysia,magnitude,8 | 6,2,TRUE,congruent,0.6763,-0.16986061257465726
10013,Malaysia,magnitude,9 | 8,1,TRUE,neutral,0.734,-0.13430394008392949
10013,Malaysia,magnitude,1 | 2,1,TRUE,incongruent,0.8842,-0.053449489430144805
10013,Malaysia,magnitude,1 | 2,1,TRUE,congruent,0.6876,-0.1626641319849852
10013,Malaysia,magnitude,2 | 7,5,FALSE,neutral,1.2333,0.09106873150001223
10013,Malaysia,magnitude,4 | 3,1,TRUE,incongruent,1.8833,0.27491950640375373
